image_name,total_beans,original_pixels_per_mm,original_avg_length_mm,original_grade,original_diff_from_min,original_diff_from_max,original_difference,adjusted_pixels_per_mm,adjusted_avg_length_mm,adjusted_grade,scale_factor,adjusted_diff_from_min,adjusted_diff_from_max,adjusted_difference,iterations,status
tray_045_back.jpg,121,18.72,7.019,A,0.669,-0.269,0.269,20.06,6.55,A,0.9331,0.2,0.2,0.0,1,Corrected
tray_045_front.jpg,121,17.03,9.451,AAA,3.101,-2.701,2.701,24.57,6.55,A,0.693,0.2,0.2,0.0,1,Corrected
tray_046_back.jpg,121,19.5,6.98,A,0.63,-0.23,0.23,20.78,6.549,A,0.9384,0.199,0.201,0.0,1,Corrected
tray_046_front.jpg,120,19.97,7.942,AAA,1.592,-1.192,1.192,24.21,6.55,A,0.8247,0.2,0.2,0.0,1,Corrected
tray_047_back.jpg,120,16.67,8.562,AAA,2.212,-1.812,1.812,21.79,6.55,A,0.765,0.2,0.2,0.0,1,Corrected
tray_047_front.jpg,127,19.15,8.168,AAA,1.818,-1.418,1.418,23.88,6.55,A,0.8019,0.2,0.2,0.0,1,Corrected
tray_048_back.jpg,120,19.97,7.115,A,0.765,-0.365,0.365,21.69,6.549,A,0.9206,0.199,0.201,0.0,1,Corrected
tray_048_front.jpg,133,17.44,7.814,AAA,1.464,-1.064,1.064,20.81,6.551,A,0.8383,0.201,0.199,0.0,1,Corrected
tray_049_back.jpg,122,19.85,7.909,AAA,1.559,-1.159,1.159,23.96,6.55,A,0.8282,0.2,0.2,0.0,1,Corrected
tray_049_front.jpg,123,21.3,7.979,AAA,1.629,-1.229,1.229,25.94,6.55,A,0.8209,0.2,0.2,0.0,1,Corrected
tray_050_back.jpg,120,15.25,9.665,AAA,3.315,-2.915,2.915,22.5,6.55,A,0.6777,0.2,0.2,0.0,1,Corrected
tray_050_front.jpg,121,19.74,8.427,AAA,2.077,-1.677,1.677,25.39,6.55,A,0.7772,0.2,0.2,0.0,1,Corrected
