epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
125,5002.25,0.72929,0.40913,0.93363,0.95397,0.93199,0.97652,0.76833,0.83326,0.35717,0.94153,0.000418951,0.00013965,0.000418951,0.00013965,0.000418951,0.00013965,0.000418951,0.00013965
126,5045.36,0.73149,0.41114,0.93228,0.95553,0.92788,0.97605,0.76863,0.82785,0.35496,0.94043,0.000403725,0.000134575,0.000403725,0.000134575,0.000403725,0.000134575,0.000403725,0.000134575
127,5087.06,0.72755,0.40697,0.93207,0.95383,0.93421,0.97614,0.77007,0.82771,0.35495,0.94179,0.000388499,0.0001295,0.000388499,0.0001295,0.000388499,0.0001295,0.000388499,0.0001295
128,5129.7,0.72534,0.40868,0.93062,0.95066,0.94301,0.97758,0.77069,0.82745,0.35415,0.94052,0.000373273,0.000124424,0.000373273,0.000124424,0.000373273,0.000124424,0.000373273,0.000124424
129,5172.42,0.72887,0.40891,0.93202,0.94847,0.94088,0.97751,0.77162,0.83256,0.35842,0.94415,0.000358046,0.000119349,0.000358046,0.000119349,0.000358046,0.000119349,0.000358046,0.000119349
130,5214.39,0.72418,0.40505,0.92954,0.95564,0.93314,0.97648,0.7699,0.83448,0.3595,0.94769,0.00034282,0.000114273,0.00034282,0.000114273,0.00034282,0.000114273,0.00034282,0.000114273
131,5255.04,0.72557,0.40628,0.92851,0.95678,0.93458,0.97601,0.76946,0.83299,0.35756,0.94695,0.000327594,0.000109198,0.000327594,0.000109198,0.000327594,0.000109198,0.000327594,0.000109198
132,5290.46,0.72748,0.40617,0.93109,0.95807,0.92909,0.9765,0.7688,0.83356,0.35543,0.94371,0.000312368,0.000104123,0.000312368,0.000104123,0.000312368,0.000104123,0.000312368,0.000104123
133,5328.62,0.72652,0.40584,0.93455,0.94853,0.93978,0.97728,0.76676,0.83341,0.35578,0.94282,0.000297142,9.90472e-05,0.000297142,9.90472e-05,0.000297142,9.90472e-05,0.000297142,9.90472e-05
134,5364.95,0.73195,0.40645,0.9315,0.95469,0.93024,0.97664,0.76809,0.83278,0.35503,0.94075,0.000281915,9.39718e-05,0.000281915,9.39718e-05,0.000281915,9.39718e-05,0.000281915,9.39718e-05
135,5401.01,0.727,0.40349,0.9308,0.95673,0.93057,0.97634,0.76683,0.83163,0.35459,0.93958,0.000266689,8.88964e-05,0.000266689,8.88964e-05,0.000266689,8.88964e-05,0.000266689,8.88964e-05
136,5436.84,0.72327,0.40272,0.9291,0.95823,0.92714,0.97651,0.76936,0.83001,0.35361,0.93859,0.000251463,8.3821e-05,0.000251463,8.3821e-05,0.000251463,8.3821e-05,0.000251463,8.3821e-05
137,5473.06,0.72379,0.4051,0.93085,0.95901,0.92666,0.97632,0.76826,0.82776,0.35373,0.93945,0.000236237,7.87456e-05,0.000236237,7.87456e-05,0.000236237,7.87456e-05,0.000236237,7.87456e-05
138,5509.25,0.72195,0.40177,0.93018,0.95577,0.92985,0.97654,0.7685,0.8297,0.35411,0.94228,0.000221011,7.36702e-05,0.000221011,7.36702e-05,0.000221011,7.36702e-05,0.000221011,7.36702e-05
139,5545.19,0.72673,0.40594,0.92933,0.9474,0.94024,0.9764,0.76885,0.82972,0.35285,0.94161,0.000205784,6.85948e-05,0.000205784,6.85948e-05,0.000205784,6.85948e-05,0.000205784,6.85948e-05
140,5580.95,0.72095,0.40067,0.92877,0.95581,0.93144,0.9764,0.76894,0.83113,0.35203,0.94024,0.000190558,6.35194e-05,0.000190558,6.35194e-05,0.000190558,6.35194e-05,0.000190558,6.35194e-05
141,5668.88,0.74712,0.39507,0.94501,0.95048,0.93794,0.97623,0.76692,0.8284,0.35584,0.94707,0.000175332,5.8444e-05,0.000175332,5.8444e-05,0.000175332,5.8444e-05,0.000175332,5.8444e-05
142,5710.63,0.73642,0.3914,0.9409,0.95393,0.9392,0.97469,0.76617,0.83112,0.36066,0.95149,0.000160106,5.33686e-05,0.000160106,5.33686e-05,0.000160106,5.33686e-05,0.000160106,5.33686e-05
143,5752.6,0.72779,0.38636,0.93358,0.94257,0.95132,0.97557,0.76439,0.82956,0.36305,0.95155,0.00014488,4.82932e-05,0.00014488,4.82932e-05,0.00014488,4.82932e-05,0.00014488,4.82932e-05
144,5795.32,0.72509,0.38731,0.93338,0.95343,0.94019,0.97566,0.765,0.82918,0.36251,0.95033,0.000129653,4.32178e-05,0.000129653,4.32178e-05,0.000129653,4.32178e-05,0.000129653,4.32178e-05
145,5831.02,0.72393,0.38253,0.9345,0.95236,0.94164,0.97539,0.76389,0.8276,0.36164,0.94839,0.000114427,3.81424e-05,0.000114427,3.81424e-05,0.000114427,3.81424e-05,0.000114427,3.81424e-05
146,5866.28,0.71804,0.37919,0.9297,0.95243,0.94112,0.97534,0.76209,0.82948,0.36208,0.9479,9.9201e-05,3.3067e-05,9.9201e-05,3.3067e-05,9.9201e-05,3.3067e-05,9.9201e-05,3.3067e-05
147,5901.77,0.72481,0.38493,0.9346,0.95458,0.93876,0.97561,0.76201,0.8287,0.36133,0.94706,8.39748e-05,2.79916e-05,8.39748e-05,2.79916e-05,8.39748e-05,2.79916e-05,8.39748e-05,2.79916e-05
148,5937.4,0.72447,0.38032,0.93214,0.95272,0.93843,0.97553,0.76358,0.82842,0.36118,0.94648,6.87486e-05,2.29162e-05,6.87486e-05,2.29162e-05,6.87486e-05,2.29162e-05,6.87486e-05,2.29162e-05
149,5972.75,0.7292,0.38637,0.93324,0.95468,0.93606,0.9756,0.764,0.82872,0.36103,0.94627,5.35224e-05,1.78408e-05,5.35224e-05,1.78408e-05,5.35224e-05,1.78408e-05,5.35224e-05,1.78408e-05
150,6007.68,0.71883,0.37924,0.93264,0.95477,0.93729,0.97588,0.76447,0.82908,0.36068,0.94541,3.82962e-05,1.27654e-05,3.82962e-05,1.27654e-05,3.82962e-05,1.27654e-05,3.82962e-05,1.27654e-05
