epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1252.94,0.82578,0.54502,0.95982,0.93835,0.94152,0.97833,0.75249,0.87434,0.38738,0.93976,0.00186544,0.000621813,0.00186544,0.000621813,0.00186544,0.000621813,0.00186544,0.000621813
31,1297.94,0.80763,0.53941,0.95708,0.94041,0.95627,0.97945,0.75631,0.86837,0.38256,0.9257,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738,0.00185021,0.000616738
32,1348.93,0.81739,0.5361,0.963,0.91932,0.95274,0.9779,0.74408,0.92149,0.39747,0.95669,0.00183499,0.000611663,0.00183499,0.000611663,0.00183499,0.000611663,0.00183499,0.000611663
33,1396.18,0.80726,0.53243,0.95953,0.93909,0.94893,0.97725,0.73664,0.88623,0.39042,0.93601,0.00181976,0.000606587,0.00181976,0.000606587,0.00181976,0.000606587,0.00181976,0.000606587
34,1443.89,0.81143,0.5324,0.9569,0.93977,0.95317,0.97385,0.75268,0.84409,0.38052,0.94119,0.00180454,0.000601512,0.00180454,0.000601512,0.00180454,0.000601512,0.00180454,0.000601512
35,1491.23,0.81277,0.53021,0.95549,0.9316,0.94815,0.97581,0.7538,0.84406,0.37847,0.93801,0.00178931,0.000596436,0.00178931,0.000596436,0.00178931,0.000596436,0.00178931,0.000596436
36,1540.4,0.80409,0.52113,0.95621,0.94268,0.95061,0.9763,0.7515,0.85254,0.37585,0.93976,0.00177408,0.000591361,0.00177408,0.000591361,0.00177408,0.000591361,0.00177408,0.000591361
37,1586.85,0.80295,0.52572,0.95807,0.94562,0.95104,0.97619,0.75184,0.84689,0.38139,0.93285,0.00175886,0.000586286,0.00175886,0.000586286,0.00175886,0.000586286,0.00175886,0.000586286
38,1628.24,0.80567,0.52498,0.95509,0.94083,0.9468,0.97621,0.75022,0.84036,0.37352,0.92582,0.00174363,0.00058121,0.00174363,0.00058121,0.00174363,0.00058121,0.00174363,0.00058121
39,1664.95,0.80127,0.52302,0.95923,0.93824,0.95264,0.97606,0.75311,0.85322,0.38246,0.9417,0.0017284,0.000576135,0.0017284,0.000576135,0.0017284,0.000576135,0.0017284,0.000576135
40,1701.51,0.79185,0.51559,0.95178,0.93323,0.94046,0.97855,0.76098,0.82632,0.37025,0.92306,0.00171318,0.000571059,0.00171318,0.000571059,0.00171318,0.000571059,0.00171318,0.000571059
41,1737.86,0.80049,0.52162,0.95761,0.93567,0.95465,0.97845,0.75944,0.86113,0.37471,0.93677,0.00169795,0.000565984,0.00169795,0.000565984,0.00169795,0.000565984,0.00169795,0.000565984
42,1774.13,0.79196,0.51723,0.95588,0.93655,0.94602,0.97814,0.75394,0.83708,0.37607,0.9404,0.00168273,0.000560909,0.00168273,0.000560909,0.00168273,0.000560909,0.00168273,0.000560909
43,1810.69,0.79469,0.51188,0.95134,0.94207,0.94444,0.97819,0.75432,0.8628,0.3822,0.95498,0.0016675,0.000555833,0.0016675,0.000555833,0.0016675,0.000555833,0.0016675,0.000555833
44,1847.04,0.79426,0.51128,0.95475,0.93418,0.95004,0.9746,0.75109,0.84276,0.37869,0.93929,0.00165227,0.000550758,0.00165227,0.000550758,0.00165227,0.000550758,0.00165227,0.000550758
45,1885.62,0.78909,0.50713,0.95153,0.93491,0.94834,0.97685,0.75889,0.83702,0.37945,0.93236,0.00163705,0.000545682,0.00163705,0.000545682,0.00163705,0.000545682,0.00163705,0.000545682
46,1921.94,0.79005,0.50216,0.95205,0.93085,0.9521,0.9783,0.75895,0.84598,0.37979,0.94093,0.00162182,0.000540607,0.00162182,0.000540607,0.00162182,0.000540607,0.00162182,0.000540607
